Animals,MPs,Source,Year,DOI
,1667,Soil,2023,https://doi.org/10.1016/j.envpol.2023.121571
,1933,Soil,2023,https://doi.org/10.1016/j.envpol.2023.121571
,2000,Soil,2023,https://doi.org/10.1016/j.envpol.2023.121571
,2400,Soil,2023,https://doi.org/10.1016/j.envpol.2023.121571
,4333,Soil,2023,https://doi.org/10.1016/j.envpol.2023.121571
,800,Soil,2023,https://doi.org/10.1016/j.envpol.2023.121571
,1333,Soil,2023,https://doi.org/10.1016/j.envpol.2023.121571
,1000,Soil,2023,https://doi.org/10.1016/j.envpol.2023.121571
,3933,Soil,2023,https://doi.org/10.1016/j.envpol.2023.121571
,3600,Soil,2023,https://doi.org/10.1016/j.envpol.2023.121571
,1200,Soil,2023,https://doi.org/10.1016/j.envpol.2023.121571
,3933,Soil,2023,https://doi.org/10.1016/j.envpol.2023.121571
,2866,Soil,2023,https://doi.org/10.1016/j.envpol.2023.121571
,1034,Soil,2023,https://doi.org/10.1016/j.envpol.2023.121571
,1133,Soil,2023,https://doi.org/10.1016/j.envpol.2023.121571
,388,Soil,2023,https://doi.org/10.1016/j.scitotenv.2023.162891
,959.7,Soil,2023,https://doi.org/10.1016/j.marpolbul.2023.114888
,106000,Soil,2022,https://doi.org/10.1016/j.envres.2022.114961
,4825.31,Soil,2021,https://doi.org/10.3390/environments9010005
,22001.67,Soil,2022,https://doi.org/10.1016/j.envpol.2022.119121
,461,Soil,2022,https://doi.org/10.1016/j.chemosphere.2022.134999
,37.32,Soil,2021,https://doi.org/10.1016/j.scitotenv.2021.148694
,863,Soil,2023,https://doi.org/10.1016/j.envpol.2023.121368
,225,Soil,2023,https://doi.org/10.1016/j.envpol.2023.121368
,2982.34,Soil,2023,https://doi.org/10.1016/j.scitotenv.2023.161674
