DOI,Year Pub,Study,Species,n,Polymer,Density(g/cm^3),Diameter(µm),Radius(µm),[MP] ,Units,[mg/kg],Items/kg_SOIL,Volume,Volume cm3,Density*V,D*V*1000,mg/kg / (D*V*1000) = Items/kg,
https://doi.org/10.1021/acs.est.9b03191,2019,Lab,Mice,26,Polystyrene (PS),1.05,5,2.5,100,µg/L,0.1,,65.4498469497874,0.0000000000654498469497874,0.0000000000687223392972768,0.0000000687223392972768,1455130.90826876,
https://doi.org/10.1021/acs.est.9b03191,2019,Lab,Mice,26,Polystyrene (PS),1.05,5,2.5,1000,µg/L,1,,65.4498469497874,0.0000000000654498469497874,0.0000000000687223392972768,0.0000000687223392972768,14551309.0826876,
https://doi.org/10.1016/j.envint.2022.107273,2022,Lab,Mice,24,Polystyrene (PS),1.05,1,0.5,10000,ug/L,10,,0.523598775598299,0.000000000000523598775598299,0.000000000000549778714378214,0.000000000549778714378214,18189136353.3595,
https://doi.org/10.1016/j.scitotenv.2023.161962,2023,Lab,Mice,72,Polystyrene (PS),1.05,5–10,3.75,100,mg/L,100,,220.893233455532,0.000000000220893233455532,0.000000000231937895128309,0.000000231937895128309,431149898.746298,
https://doi.org/10.3390/toxics11020127,2023,Lab,Mice,72,Polypropylene (PP),0.905,8,4,0.1,mg/mL,100,,268.082573106329,0.000000000268082573106329,0.000000000242614728661228,0.000000242614728661228,412176130.244894,
https://doi.org/10.3390/toxics11020127,2023,Lab,Mice,72,Polypropylene (PP),0.905,8,4,1,mg/mL,1000,,268.082573106329,0.000000000268082573106329,0.000000000242614728661228,0.000000242614728661228,4121761302.44894,
https://doi.org/10.3390/toxics11020127,2023,Lab,Mice,72,Polypropylene (PP),0.905,8,4,10,mg/mL,10000,,268.082573106329,0.000000000268082573106329,0.000000000242614728661228,0.000000242614728661228,41217613024.4894,
https://doi.org/10.3390/toxics11020127,2023,Lab,Mice,72,Polypropylene (PP),0.905,70,35,0.1,mg/mL,100,,179594.380030217,0.000000179594380030217,0.000000162532913927346,0.000162532913927346,615259.996167306,
https://doi.org/10.3390/toxics11020127,2023,Lab,Mice,72,Polypropylene (PP),0.905,70,35,1,mg/mL,1000,,179594.380030217,0.000000179594380030217,0.000000162532913927346,0.000162532913927346,6152599.96167306,
https://doi.org/10.3390/toxics11020127,2023,Lab,Mice,72,Polypropylene (PP),0.905,70,35,10,mg/mL,10000,,179594.380030217,0.000000179594380030217,0.000000162532913927346,0.000162532913927346,61525999.6167306,
https://doi.org/10.1021/acs.est.1c07933,2022,Lab,Mice,60,Polystyrene (PS),1.05,40-60,25,50,mg/kg,50,,65449.8469497874,0.0000000654498469497874,0.0000000687223392972768,0.0000687223392972768,727565.454134378,
https://doi.org/10.1021/acs.est.1c07933,2022,Lab,Mice,60,Polystyrene (PS),1.05,40-60,25,500,mg/kg,500,,65449.8469497874,0.0000000654498469497874,0.0000000687223392972768,0.0000687223392972768,7275654.54134378,
https://doi.org/10.1021/acs.est.1c07933,2022,Lab,Mice,60,Polystyrene (PS),1.05,40-100,35,50,mg/kg,50,,179594.380030217,0.000000179594380030217,0.000000188574099031728,0.000188574099031728,265147.760253053,
https://doi.org/10.1021/acs.est.1c07933,2022,Lab,Mice,60,Polystyrene (PS),1.05,40-100,35,500,mg/kg,500,,179594.380030217,0.000000179594380030217,0.000000188574099031728,0.000188574099031728,2651477.60253053,
https://doi.org/10.1016/j.chemosphere.2022.135942,2022,Lab,Mice,60,Polystyrene (PS),1.05,1,0.5,2,mg/kg,2,,0.523598775598299,0.000000000000523598775598299,0.000000000000549778714378214,0.000000000549778714378214,3637827270.67189,
